,YM,Title
326,201811,キャラ強化における「装備入手」画面にて、装備ステータスの表示が一部正しくない不具合について
327,201811,アップデートのお知らせ【2018/11/20(火) 19:00 更新】
328,201811,サポートキャラのキャラLv制限の調整について
329,201811,新コンテンツ「キャラ専用装備」「聖跡調査」登場！
330,201811,新キャラ「ナナカ」登場！！
331,201811,「ジュエル購入」に「毎日更新 ジュエル 500個」を期間限定で追加！
332,201811,メモリアルサウンドボックスに新しいBGMを追加！
333,201811,ギルドハウスに新しい家具を追加！
334,201811,アップデートのお知らせ【2018/11/20(火) 18:00 公開】
335,201811,ギルドハウス3F追加！
336,201811,2018/11/26(月) メンテナンス実施のお知らせ
337,201811,アップデートのお知らせ【2018/11/19(月) 15:00 更新】
338,201811,「ぷりこねっ！りだいぶ」第53話掲載
339,201811,「トワイライトブレイカーズ」開催終了！
340,201811,「ノーマルクエスト」ドロップ量2倍キャンペーン！
341,201811,「11月クランバトル」開催決定！
342,201811,「ぷりこねっ！りだいぶ」第51話掲載
343,201811,「ぷりこねっ！りだいぶ」第52話掲載
344,201811,アップデートのお知らせ【2018/11/15(木) 12:25 更新】
345,201811,「ダンジョン」マナドロップ量2倍キャンペーン！
346,201811,DMM GAMES版において、エラーコード：219が発生する不具合について【2018/11/22(木) 19:40 追記】
347,201811,アップデートのお知らせ【2018/11/08(木) 18:35 更新】
348,201811,「プリンセスコネクト！Re:Dive」カラオケ配信に関するお知らせ
349,201811,アップデートのお知らせ【2018/11/08(木) 12:00 公開】
350,201811,アップデートのお知らせ【2018/11/09(金) 16:45 更新】
351,201811,「11月ルナの塔」開催中！
352,201811,「11月ルナの塔」開催決定！
353,201811,パセラコラボカフェ「後半メニュー」スタートのお知らせ
354,201811,バトルアリーナおよびプリンセスアリーナにおける、対戦履歴が表示されない不具合について
355,201811,「ぷりこねっ！りだいぶ」第50話掲載
356,201811,2018/11/06(火) メンテナンス終了のお知らせ【2018/11/06(火) 20:27 追記】
357,201811,「ぷりこねっ！りだいぶ」第49話掲載
358,201811,新キャラ「ルカ」登場！！
359,201811,10月「クランバトル」開催期間終了！【2018/11/01(木) 17:00 追記】
360,201812,アップデートのお知らせ【2018/12/31(月) 14:10 更新】
361,201812,プリンセスフェスガチャ開催！！
362,201812,イベントボスバトルにおける「爆弾モチ」に対して発生している不具合について
363,201812,ストーリーイベント「新春トゥインクルクライシス！」開催中！【2019/1/06(日) 11:50 追記】
364,201812,1日1回10連ガチャ無料キャンペーン開催中！！
365,201812,キャラ専用装備追加！
366,201812,「イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーン！【2018/12/31(月) 12:25 追記】
367,201812,アップデートのお知らせ【2018/12/31(月) 12:00 公開】
368,201812,「探索」ドロップ量2倍キャンペーン！
369,201812,12月「クランバトル」開催期間終了！【2018/12/31(月) 16:00 追記】
370,201812,「ぷりこねっ！りだいぶ」第64話掲載
371,201812,アップデートのお知らせ【2018/12/25(火) 12:30 公開】
372,201812,アップデートのお知らせ【2018/12/27(木) 19:10 更新】
373,201812,2018/12/29(土) ～ 2019/01/03(木)のお問い合わせ対応について
374,201812,「ぷりこねっ！りだいぶ」第63話掲載
375,201812,ストーリーイベント「新春トゥインクルクライシス！」開催決定！
376,201812,「クリスマスログインボーナス」開催！
377,201812,「12月クランバトル」において、モンスター討伐報酬の内容が一部本来と異なる不具合について
378,201812,「12月クランバトル」開催！
379,201812,「ハードクエスト」ドロップ量2倍キャンペーン！
380,201812,期間限定キャラ「アヤネ（クリスマス）」登場！
381,201812,1日1回10連ガチャ無料キャンペーン開催のお知らせ
382,201812,ギルドハウスに新しい家具を追加！
383,201812,メモリアルサウンドボックスに新しいBGMを追加！
384,201812,「ぷりこねっ！りだいぶ」第62話掲載
385,201812,アップデートのお知らせ【2018/12/19(水) 19:45 追記】
386,201812,「ジュエル購入」に「毎日更新 ジュエル 500個」を期間限定で追加！
387,201812,「★3確定プラチナガチャ」開催！！【2018/12/18(火) 13:15 追記】
388,201812,「12月クランバトル」開催決定！
389,201812,Pアリーナショップに「ツムギのメモリーピース」を追加！！
390,201812,DMM GAMES版において、ダウンロードエラーが発生する不具合について【2018/12/18(火) 12:20 追記】
391,201812,「ノーマルクエスト」ドロップ量2倍キャンペーン！
392,201812,キャラ専用装備追加決定！
393,201812,アップデートのお知らせ【2018/12/17(月) 12:00 公開】
394,201812,「12月ルナの塔」開催中！【2018/12/17(月) 15:05 追記】
395,201812,「忘却のキャロル」開催終了！
396,201812,「ぷりこねっ！りだいぶ」第61話掲載
397,201812,アップデートのお知らせ【2018/12/13(木) 12:00 公開】
398,201812,「ぷりこねっ！りだいぶ」第60話掲載
399,201812,「デイリージュエルパック」における一部内容の変更について
400,201812,「ショップ」におけるラインナップの変更、および調整について
401,201812,2018/12/13(木) メンテナンス終了のお知らせ
402,201812,ルナの塔の仕様変更にともなうプレゼントについて
403,201812,「12月ルナの塔」開催決定！
404,201812,「グランブルーファンタジーコラボログインボーナス」開催！！
405,201812,Google Play ベストオブ2018入賞！！
406,201812,「ぷりこねっ！りだいぶ」第59話掲載
407,201812,「ダンジョン」マナドロップ量2倍キャンペーン！
408,201812,「ぷりこねっ！りだいぶ」第58話掲載
409,201812,アップデートのお知らせ【2018/12/10(月) 12:00 公開】
410,201812,「ぷりこねっ！りだいぶ」第57話掲載
411,201812,11月「クランバトル」開催期間終了！【2018/12/03(月) 18:00 追記】
412,201812,2018/12/13(木) メンテナンス実施のお知らせ
413,201901,ストーリーイベント「バトルオブバレンタイン！想いぶつかるスウィートバトル」開催中！【02/06(水) 12:00 追記】
